prevword,nextword,prevtag,nexttag,class
of,rate,IN,NN,6
other,.,JJ,.,3
beneficial,via,JJ,IN,5
partnership,via,NP,IN,5
voting,in,JJ,IN,5
in,last,IN,JJ,6
its,in,PP,IN,5
and,on,CC,IN,6
45,in,AB,IN,5
equity,he,NN,PP,5
investor,in,NN,IN,1
the,rates,DT,NNS,6
investor,was,NN,VBD,1
domestic,rates,JJ,NNS,6
keeping,rates,VBG,NNS,6
national,and,JJ,CC,4
entrenched,--,VBN,:,4
german,rates,JJ,NNS,6
market,rates,NN,NNS,6
german,rates,JJ,NNS,6
an,in,DT,IN,5
of,in,IN,IN,1
their,.,PP,.,4
minority,rose,NN,VBD,5
let,rates,VB,NNS,6
up,rates,RP,NNS,6
minority,nearly,NN,RB,5
the,rate,DT,NN,6
quality,rates,NN,NNS,6
and,and,CC,CC,6
with,in,IN,IN,5
own,to,JJ,TO,4
with,in,IN,IN,5
generate,.,VB,.,1
retail,in,JJ,IN,1
best,of,JJS,IN,4
rising,rates,VBG,NNS,6
has,in,VBZ,IN,5
with,including,IN,VBG,5
with,,IN,'',1
supreme,,NN,'',4
short,for,JJ,IN,5
short,slipped,JJ,VBD,5
short,reached,JJ,VBD,5
short,is,JJ,VBZ,5
short,bullish,JJ,JJ,5
short,of,JJ,IN,5
short,ratio,JJ,NN,5
short,position,JJ,NN,5
short,volume,JJ,NN,5
short,position,JJ,NN,5
special,in,JJ,IN,1
minority,rose,NN,VBD,5
u.k.,rates,NP,NNS,6
before,taxes,IN,NNS,6
net,expenses,JJ,NNS,6
6.25,rate,AB,NN,6
outrank,rates,VBP,NNS,6
wide,are,JJ,VBP,3
minority,preferred,NN,VBN,5
long-term,to,JJ,TO,4
s,in,POS,IN,1
stir,in,VB,IN,1
lower,rates,JJR,NNS,6
own,rates,JJ,NNS,6
domestic,rates,JJ,NNS,6
on,rates,IN,NNS,6
its,earlier,PP,RBR,1
15,--,AB,:,5
s,in,POS,IN,1
of,with,IN,IN,4
of,should,IN,MD,4
the,of,DT,IN,4
pay,on,VB,IN,6
german,rates,JJ,NNS,6
german,rates,JJ,NNS,6
telephone,with,NN,IN,5
important,rates,JJ,NNS,6
push,rates,VB,NNS,6
``,indicated,``,VBN,1
the,credited,DT,VBN,6
other,.,JJ,.,3
has,in,VBZ,IN,5
best,of,JJS,IN,4
annual,rates,JJ,NNS,6
missed,payments,VBN,NNS,6
and,rates,CC,NNS,6
on,rates,IN,NNS,6
cut,expense,VB,NN,6
short,fell,JJ,VBD,5
has,in,VBZ,IN,5
32,.,AB,.,5
other,.,JJ,.,3
common,of,JJ,IN,4
what,rates,WDT,NNS,6
one-third,in,JJ,IN,5
has,in,VBZ,IN,5
whose,in,WP,IN,5
wide,because,JJ,IN,1
our,in,PP,IN,1
consumers,in,NNS,IN,4
their,in,PP,IN,4
and,rates,CC,NNS,6
with,in,IN,IN,5
its,to,PP,TO,5
divergent,rates,JJ,NNS,6
the,rate,DT,NN,6
nominal,rates,JJ,NNS,6
possible,in,JJ,IN,1
controlling,in,VBG,IN,5
has,in,VBZ,IN,5
of,or,IN,CC,4
general,from,JJ,IN,2
sending,rates,VBG,NNS,6
lower,rates,JJR,NNS,6
minority,in,NN,IN,5
cap,deductions,VB,NNS,6
lbo,costs,NP,NNS,6
plus,.,CC,.,6
equity,will,NN,MD,5
boost,rates,VB,NNS,6
an,rate,DT,NN,6
peculiar,.,JJ,.,4
pay,rates,VBP,NNS,6
before,and,IN,CC,6
its,payments,PP,NNS,6
before,and,IN,CC,6
owner,rates,NN,NNS,6
its,to,PP,TO,5
an,in,DT,IN,5
expressed,in,VBD,IN,1
american,to,JJ,TO,5
u.s.,in,NP,IN,5
enormous,payments,JJ,NNS,6
plus,payments,CC,NNS,6
accrued,would,VBN,MD,6
domestic,rates,JJ,NNS,6
buying,traders,NN,NNS,1
higher,rates,JJR,NNS,6
attracted,because,VBN,IN,1
institutional,.,JJ,.,1
s,in,POS,IN,1
an,rate,DT,NN,6
raise,rates,VB,NNS,6
japanese,in,JJ,IN,1
major,was,JJ,VBD,1
the,in,DT,IN,1
in,rates,IN,NNS,6
short-term,rates,JJ,NNS,6
u.s.,rates,NP,NNS,6
sole,is,JJ,VBZ,3
expressed,in,VBN,IN,1
its,payments,PP,NNS,6
6.25,rate,AB,NN,6
plus,and,CC,CC,6
industrial,in,JJ,IN,5
of,rates,IN,NNS,6
short-term,rates,JJ,NNS,6
discuss,rates,VB,NNS,6
accrued,to,VBN,TO,6
has,in,VBZ,IN,5
its,in,PP,IN,5
annual,rates,JJ,NNS,6
special,magazines,JJ,NNS,3
special,magazines,JJ,NNS,3
business,.,NN,.,3
meet,payments,VB,NNS,6
has,in,VBZ,IN,5
current,bonds,JJ,NNS,6
tax,on,NN,IN,6
current,serial,JJ,JJ,6
current,term,JJ,NN,6
paying,this,VBG,DT,6
minority,advanced,NN,VBD,5
higher,rates,JJR,NNS,6
raising,rates,VBG,NNS,6
nudging,rates,VBG,NNS,6
minority,or,NN,CC,5
low,rates,JJ,NNS,6
of,in,IN,IN,1
s,include,POS,VBP,5
67.7,in,AB,IN,5
brewing,.,NN,.,5
best,,JJS,'',4
annual,rates,JJ,NNS,6
focused,find,VBN,VBP,3
those,.,DT,.,3
billion,payment,AB,NN,6
make,payments,VB,NNS,6
the,payment,DT,NN,6
make,payments,VB,NNS,6
and,payments,CC,NNS,6
equity,of,NN,IN,5
an,payment,DT,NN,6
higher,rates,JJR,NNS,6
best,at,JJS,IN,4
dividends,and,NNS,CC,6
down,rates,IN,NNS,6
of,rates,IN,NNS,6
million,and,AB,CC,6
pay,due,VB,JJ,6
the,payment,DT,NN,6
of,income,IN,NN,6
expressed,in,VBN,IN,1
less,than,JJR,IN,1
of,.,IN,.,1
current,serial,JJ,NN,6
current,bonds,JJ,NNS,6
current,bonds,JJ,NNS,6
current,bonds,JJ,NNS,6
or,in,CC,IN,5
the,effective,DT,JJ,5
u.s.,turned,NP,VBD,5
cash,payments,NN,NNS,6
at,rates,IN,NNS,6
domestic,rates,JJ,NNS,6
investor,because,NN,IN,1
buying,for,NN,IN,1
german,rates,JJ,NNS,6
renewed,rate,VBN,NN,6
lower,rates,JJR,NNS,6
u.s.,rates,NP,NNS,6
raise,rates,VB,NNS,6
our,.,PP,.,4
keen,to,JJ,TO,2
public,especially,JJ,RB,4
voting,is,NN,VBZ,5
average,rate,JJ,NN,6
great,and,JJ,CC,1
property,is,NN,VBZ,5
keeping,rates,VBG,NNS,6
domestic,rates,JJ,NNS,6
domestic,rates,JJ,NNS,6
its,bill,PP,NN,6
high,rates,JJ,NNS,6
our,in,PP,IN,1
other,.,JJ,.,3
s,in,POS,IN,1
short-term,rates,JJ,NNS,6
boost,rates,VB,NNS,6
open,or,JJ,CC,5
lower,rates,VB,NNS,6
the,of,DT,IN,1
property,in,NN,IN,5
51.7,in,AB,IN,5
effective,in,JJ,IN,5
book-publishing,including,NN,VBG,5
annualized,rates,JJ,NNS,6
other,.,JJ,.,3
and,obligations,CC,NNS,6
minority,in,NN,IN,5
long-range,.,JJ,.,4
less,in,JJR,IN,1
reduce,charges,VB,NNS,6
western,,JJ,'',4
an,in,DT,IN,5
new-found,in,JJ,IN,1
great,.,JJ,.,1
most,rate,JJS,NN,6
for,.,IN,.,6
and,if,CC,IN,6
annual,rates,JJ,NNS,6
no,again,DT,RB,5
floating,rates,JJ,NNS,6
60,in,AB,IN,5
of,from,IN,IN,1
buying,in,NN,IN,1
other,.,JJ,.,3
s,bill,POS,NN,6
high,.,JJ,.,6
s,charges,POS,NNS,6
equity,in,NN,IN,5
before,and,IN,CC,6
buying,for,JJ,IN,1
for,rate,IN,NN,6
raise,rates,VB,NNS,6
bear,at,VBP,IN,6
an,payment,DT,NN,6
5,later,AB,RB,5
in,costs,IN,NNS,6
unpaid,from,JJ,IN,6
semiannual,due,JJ,JJ,6
25.1,in,AB,IN,5
physicians,.,NNS,.,3
more,than,JJR,IN,1
keen,in,JJ,IN,1
his,in,PP,IN,1
make,payments,VB,NNS,6
lost,.,VBD,.,1
nudging,rates,VBG,NNS,6
short-term,rates,JJ,NNS,6
partnership,via,NP,IN,5
equity,in,NN,IN,5
investor,.,NN,.,1
business,of,NN,IN,5
expressed,in,VBN,IN,1
has,in,VBZ,IN,5
the,payment,DT,NN,6
the,on,DT,IN,6
aggregate,due,JJ,JJ,6
alter,rates,VB,NNS,6
ecu,rates,NP,NNS,6
long-term,rates,JJ,NNS,6
market,rate,NN,NN,6
in,rates,IN,NNS,6
human,,JJ,'',3
of,saved,IN,VBN,6
annual,rates,JJ,NNS,6
18.5,in,AB,IN,5
an,including,DT,VBG,1
the,of,DT,IN,4
the,of,DT,IN,4
make,payments,VB,NNS,6
their,payments,PP,NNS,6
no,in,DT,IN,1
lower,burden,JJR,NN,6
heavy,payments,JJ,NNS,6
burdensome,payments,JJ,NNS,6
meet,payments,VB,NNS,6
in,rates,IN,NNS,6
in,payments,IN,NNS,6
its,bill,PP,NN,6
the,they,DT,PP,6
customers,,NNS,'',4
its,in,PP,IN,5
his,in,PP,IN,1
lower,rates,JJR,NNS,6
high,rates,JJ,NNS,6
inflation,rates,NN,NNS,6
expressed,in,VBN,IN,1
reducing,in,VBG,IN,1
spurred,in,VBN,IN,1
variable,rate,JJ,NN,6
70,in,AB,IN,5
and,in,CC,IN,5
increased,in,VBN,IN,1
annual,payment,JJ,NN,6
the,was,DT,VBD,6
that,rate,IN,NN,6
expressed,in,VBN,IN,1
of,are,IN,VBP,1
takeover,in,NN,IN,1
health-care,as,JJ,IN,5
75,in,AB,IN,5
and,payments,CC,NNS,6
unwanted,in,JJ,IN,1
s,in,POS,IN,1
their,payments,PP,NNS,6
in,rates,IN,NNS,6
in,profits,IN,NNS,6
cut,costs,VB,NNS,6
in,costs,IN,NNS,6
certain,in,JJ,IN,5
of,.,IN,.,1
lower,rates,JJR,NNS,6
lower,rates,JJR,NNS,6
s,include,POS,VBP,5
business,begin,NN,VBP,3
national,.,JJ,.,4
geopolitical,that,JJ,WDT,4
commercial,in,JJ,IN,5
